"id","sessionDate","sessionType","studentId","teacherId","halaqahId","startPage","endPage","totalPages","score","notes","recommendation","isApprovedForNextStep","createdAt","updatedAt"
"cmng28f39000e2rqhqfgt2fg7","2026-04-01 00:00:00","ZIYADAH","cmnfe121w00132spzy02jx7cu","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","302","306","5","90","Al kahfi 107, Maryam 8, 15","CONTINUE",,"2026-04-01 13:06:54.693","2026-04-01 13:06:54.693"
"cmng2gqvl000f2rqh0ov8wglz","2026-04-01 00:00:00","MURAJAAH_KUBRO","cmnfd9b6000042spzzqt1m4n2","cmnf86zub00112rtxrirmt2n3","cmnf89gxi00142rtx8aw6wu4n","302","321","20","75","1. Salah pada 14 tempat 
2. Salah dalam hafalan halaman 317, seharusnya في البحر di baca في الأرض 
3. Lupa dalam hafalan halaman 318, kurang huruf wawu dalam kata وإله موسى  
","CONTINUE",,"2026-04-01 13:13:23.217","2026-04-01 13:13:23.217"
"cmng2ha5t000g2rqh42aqfhzg","2026-04-01 00:00:00","ZIYADAH","cmnfdzufq00102spz6j04kr5z","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","258","261","4","95","Bagus","CONTINUE",,"2026-04-01 13:13:48.209","2026-04-01 13:13:48.209"
"cmng2iidz000h2rqhd0632c5y","2026-04-01 00:00:00","ZIYADAH","cmnfe08mk00112spznm089paw","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","262","265","4","95","Bagus","CONTINUE",,"2026-04-01 13:14:45.527","2026-04-01 13:14:45.527"
"cmng2j2ia000i2rqhdb8ibdrm","2026-04-01 00:00:00","MURAJAAH_KUBRO","cmnfd7pmx00012spzc9vrqbmv","cmnf86zub00112rtxrirmt2n3","cmnf89gxi00142rtx8aw6wu4n","62","81","20","90","Salah pada 7 tempat","CONTINUE",,"2026-04-01 13:15:11.602","2026-04-01 13:15:11.602"
"cmng2k591000j2rqh8ebedizy","2026-04-01 00:00:00","MURAJAAH_KUBRO","cmnfd7pmx00012spzc9vrqbmv","cmnf86zub00112rtxrirmt2n3","cmnf89gxi00142rtx8aw6wu4n","82","101","20","90","Salah pada 8 tempat","CONTINUE",,"2026-04-01 13:16:01.813","2026-04-01 13:16:01.813"
"cmng2ldjl000k2rqhfp1en1lh","2026-04-01 00:00:00","ZIYADAH","cmnfdv508000o2spzdcuc7slj","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","352","354","3","88","An Nur 22, 26-27, 35","CONTINUE",,"2026-04-01 13:16:59.217","2026-04-01 13:21:13.536"
"cmng3j75i000l2rqhz012iszr","2026-04-01 00:00:00","ZIYADAH","cmnfdwj0i000s2spzxarxkain","cmnf6mdt700082rtx1dccy93g","cmnf6npd6000b2rtxl2cwo2nn","302","305","4","95","","CONTINUE",,"2026-04-01 13:43:17.238","2026-04-01 13:43:17.238"
"cmngm9yas000m2rqhvl2a0p5i","2026-04-02 00:00:00","MURAJAAH_KUBRO","cmnfd8w9t00032spzc7cfzc87","cmnf86zub00112rtxrirmt2n3","cmnf89gxi00142rtx8aw6wu4n","462","481","20","95","Ada salah satu, lupa dalam hafalan pada halaman 473 pada kata يوم لا ينفع الظالمين   ","CONTINUE",,"2026-04-01 22:27:58.564","2026-04-01 22:47:07.031"
"cmngmk8yv000n2rqhtic2evyb","2026-04-02 00:00:00","MURAJAAH_SHUGHRA","cmnfe08mk00112spznm089paw","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","244","263","20","80","Mandiri","CONTINUE",,"2026-04-01 22:35:58.951","2026-04-01 22:35:58.951"
"cmngms5y4000o2rqhh6x4anjc","2026-04-02 00:00:00","ZIYADAH","cmnfe08mk00112spznm089paw","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","264","267","4","88","Al Hijr 77, 85, An Nahl 6","CONTINUE",,"2026-04-01 22:42:08.284","2026-04-01 22:42:08.284"
"cmngn2ayn000p2rqh9nz8sq6n","2026-04-02 00:00:00","ZIYADAH","cmnfdygo0000w2spzwwfjt1rc","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","129","131","3","96","Al An'am 30-31, ","CONTINUE",,"2026-04-01 22:50:01.343","2026-04-01 22:50:01.343"
"cmngnarv7000q2rqh3fmuzkax","2026-04-02 00:00:00","ZIYADAH","cmnfdv508000o2spzdcuc7slj","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","354","355","2","84","An Nur 35, 40, 41, 43","CONTINUE",,"2026-04-01 22:56:36.499","2026-04-01 22:56:36.499"
"cmngnr62l000r2rqhh6mx6h64","2026-04-02 00:00:00","ZIYADAH","cmnfe121w00132spzy02jx7cu","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","305","308","4","92","Maryam 11, 48","CONTINUE",,"2026-04-01 23:09:21.405","2026-04-01 23:54:48.912"
"cmngnrlgy000s2rqh7f6hqujt","2026-04-02 00:00:00","MURAJAAH_KUBRO","cmnf8bczs00172rtxflo1o70l","cmnf86zub00112rtxrirmt2n3","cmnf89gxi00142rtx8aw6wu4n","42","61","20","90","Ada kesalahan di 9 tempat","CONTINUE",,"2026-04-01 23:09:41.362","2026-04-01 23:41:12.45"
"cmngnty7m000t2rqhjyoi31el","2026-04-02 00:00:00","ZIYADAH","cmnfdswkf000g2spzl3d2h6fn","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","102","106","5","85","Cukup lancar","CONTINUE",,"2026-04-01 23:11:31.186","2026-04-01 23:11:31.186"
"cmngo7eod000v2rqhalzt5xgo","2026-04-02 00:00:00","ZIYADAH","cmnfe0ql200122spz0b6x4067","cmnf6lnw600062rtxuy1sqbri","cmnf6nb9k000a2rtx07deyahb","305","308","4","88","Maryam 23-24, 48, 49","CONTINUE",,"2026-04-01 23:21:59.053","2026-04-01 23:21:59.053"
"cmngonyfx000w2rqhvbc8tudg","2026-04-02 00:00:00","ZIYADAH","cmnfdvuav000q2spz042slavn","cmndr9ruq0001dh0szijmq8re","cmnf6imto00022rtxxyk7klzi","465","469","5","95","","CONTINUE",,"2026-04-01 23:34:51.165","2026-04-01 23:34:51.165"
